Player,Nation,Pos,Squad,Born,Seasons
Jon Karrikaburu,ESP,FW,Real Sociedad,2002,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga']}"
Rick Karsdorp,NED,DF,Roma,1995,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['Champions League']}"
Aleksandar Katai,SRB,"MF,FW",Red Star,1991,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Nikola Katić,BIH,DF,Zürich,1996,{'2022-2023': ['Europa League']}
Tomasz Kędziora,POL,DF,Dynamo Kyiv,1994,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Yannik Keitel,GER,MF,Freiburg,2000,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga']}"
Kevin Kelsy,VEN,"FW,MF",Shakhtar,2004,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League']}"
Rani Khedira,GER,MF,Union Berlin,1994,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga']}"
Isaac Kiese Thelin,SWE,FW,Malmö,1992,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Gaby Kiki,CMR,DF,Sheriff Tiraspol,1995,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League']}"
Joshua King,NOR,"FW,MF",Fenerbahçe,1992,"{'2022-2023': ['Europa League'], '2024-2025': ['Ligue 1']}"
Otar Kiteishvili,GEO,MF,Sturm Graz,1996,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Champions League'], 'EURO 2024': ['EURO 2024']}"
Fotios Kitsos,GRE,DF,AC Omonia,2003,{'2022-2023': ['Europa League']}
Jakub Kiwior,POL,DF,Arsenal,2000,"{'2022-2023': ['Premier League', 'Europa League', 'Serie A'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Robin Knoche,GER,DF,Union Berlin,1992,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga', 'Champions League']}"
Mats Knoester,NED,DF,Ferencváros,1998,{'2022-2023': ['Europa League']}
Jonas Knudsen,DEN,"DF,MF",Malmö,1992,{'2022-2023': ['Europa League']}
Orkun Kökçü,TUR,MF,Feyenoord,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Europa League', 'Champions League'], '2024-2025': ['Primeira Liga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Morten Konradsen,NOR,DF,Bodø/Glimt,1996,{'2022-2023': ['Europa League']}
Ioannis Kousoulos,CYP,MF,AC Omonia,1996,{'2022-2023': ['Europa League']}
Adnan Kovačević,BIH,DF,Ferencváros,1993,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League']}"
Maksym Koval,UKR,GK,Sheriff Tiraspol,1992,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League']}"
Patrick Kpozo,GHA,DF,Sheriff Tiraspol,1997,{'2022-2023': ['Europa League']}
Bledian Krasniqi,SUI,"MF,FW",Zürich,2001,{'2022-2023': ['Europa League']}
Mykyta Kravchenko,UKR,FW,Dynamo Kyiv,1997,{'2022-2023': ['Europa League']}
Mirlind Kryeziu,KVX,DF,Zürich,1997,{'2022-2023': ['Europa League']}
Lukas Kübler,GER,"DF,MF",Freiburg,1992,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Takefusa Kubo,JPN,"FW,MF",Real Sociedad,2001,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Europa League', 'La Liga'], 'WC 2022': ['WC 2022']}"
Marash Kumbulla,ALB,"DF,MF",Roma,2000,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['La Liga']}"
Pierre Kunde,CMR,MF,Olympiacos,1995,"{'2022-2023': ['Europa League', 'Bundesliga'], 'WC 2022': ['WC 2022']}"
Owusu Kwabena,GHA,FW,Qarabağ,1997,{'2022-2023': ['Europa League']}
Moussa Kyabou,MLI,MF,Sheriff Tiraspol,1998,{'2022-2023': ['Europa League']}
Daniel Kyereh,GHA,FW,Freiburg,1996,"{'2022-2023': ['Europa League', 'Bundesliga'], 'WC 2022': ['WC 2022']}"
Christoforou Kypros,CYP,DF,AÉK Lárnaka,1993,{'2022-2023': ['Europa League']}
Alban Lafont,FRA,GK,Nantes,1999,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1']}"
Montassir Lahtimi,MAR,FW,Trabzonspor,2001,{'2022-2023': ['Europa League']}
Aïssa Laïdouni,TUN,MF,Ferencváros,1996,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Diego Lainez,MEX,"MF,FW",Braga,2000,{'2022-2023': ['Europa League']}
Ádám Lang,HUN,DF,AC Omonia,1993,"{'2022-2023': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Christoph Lang,AUT,MF,Sturm Graz,2002,{'2022-2023': ['Europa League']}
Loïc Lapoussin,MAD,DF,Union SG,1996,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Belgian Pro League'], '2024-2025': ['Belgian Pro League']}"
Hugo Larsson,SWE,MF,Malmö,2004,"{'2022-2023': ['Europa League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Europa League', 'Bundesliga']}"
Manuel Lazzari,ITA,DF,Lazio,1993,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Europa League', 'Serie A']}"
Robin Le Normand,ESP,DF,Real Sociedad,1996,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Jan Lecjaks,CZE,DF,AC Omonia,1990,{'2022-2023': ['Europa League']}
Richy Ledezma,USA,"MF,FW",PSV Eindhoven,2000,"{'2022-2023': ['Europa League'], '2024-2025': ['Champions League']}"
Diogo Leite,POR,DF,Union Berlin,1999,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga']}"
Jamie Leweling,GER,"MF,FW",Union Berlin,2001,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga'], '2024-2025': ['Bundesliga', 'Champions League']}"
Oscar Lewicki,SWE,"MF,DF",Malmö,1992,{'2022-2023': ['Europa League']}
Philipp Lienhart,AUT,DF,Freiburg,1996,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga'], 'EURO 2024': ['EURO 2024']}"
Lincoln,BRA,"MF,FW",Fenerbahçe,1998,"{'2022-2023': ['Europa League'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Victor Lindelöf,SWE,DF,Manchester Utd,1994,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Europa League']}"
Lucas Lingman,FIN,MF,HJK,1998,{'2022-2023': ['Europa League']}
Krisztián Lisztes,HUN,FW,Ferencváros,2005,{'2022-2023': ['Europa League']}
Ivan Ljubic,AUT,"MF,FW",Sturm Graz,1996,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League']}"
Diego Llorente,ESP,DF,Roma,1993,"{'2022-2023': ['Premier League', 'Europa League', 'Serie A'], '2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['La Liga']}"
Marius Lode,NOR,DF,Bodø/Glimt,1993,{'2022-2023': ['Europa League']}
Loizos Loizou,CYP,FW,AC Omonia,2003,{'2022-2023': ['Europa League']}
Emmanuel Lomotey,GHA,DF,Malmö,1997,{'2022-2023': ['Europa League']}
Rafael Lopes,POR,FW,AÉK Lárnaka,1991,{'2022-2023': ['Europa League']}
Marcos López,PER,DF,Feyenoord,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Jonas Lössl,DEN,GK,Midtjylland,1989,{'2022-2023': ['Europa League']}
Jean Lucas,BRA,MF,Monaco,1998,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Lorenzo Lucca,ITA,FW,Ajax,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Serie A'], '2024-2025': ['Serie A']}"
Senne Lynen,BEL,MF,Union SG,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Bundesliga', 'Belgian Pro League'], '2024-2025': ['Bundesliga']}"
Yann M'Vila,FRA,"MF,DF",Olympiacos,1990,{'2022-2023': ['Europa League']}
Koki Machida,JPN,DF,Union SG,1997,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Belgian Pro League'], '2024-2025': ['Europa League', 'Belgian Pro League']}"
Noni Madueke,ENG,FW,PSV Eindhoven,2002,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League']}"
Gabriel Magalhães,BRA,DF,Arsenal,1997,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Shakhruddin Magomedaliyev,AZE,GK,Qarabağ,1994,{'2022-2023': ['Europa League']}
Harry Maguire,ENG,DF,Manchester Utd,1993,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Europa League'], 'WC 2022': ['WC 2022']}"
Jon Magunacelaya,ESP,FW,Real Sociedad,2000,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga']}"
Lovro Majer,CRO,MF,Rennes,1998,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Bundesliga', 'Ligue 1'], '2024-2025': ['Bundesliga'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Tyrell Malacia,NED,DF,Manchester Utd,1999,"{'2022-2023': ['Premier League', 'Europa League']}"
Rafail Mamas,CYP,MF,AÉK Lárnaka,2001,{'2022-2023': ['Europa League']}
Gianluca Mancini,ITA,DF,Roma,1996,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['Europa League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Steve Mandanda,FRA,GK,Rennes,1985,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1'], 'WC 2022': ['WC 2022']}"
Balázs Manner,HUN,MF,Ferencváros,2005,{'2022-2023': ['Europa League']}
Kostas Manolas,GRE,DF,Olympiacos,1991,"{'2022-2023': ['Europa League'], '2023-2024': ['Serie A']}"
Marcelo,BRA,"MF,DF",Olympiacos,1988,"{'2022-2023': ['Europa League'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Antonio Marchesano,SUI,MF,Zürich,1991,{'2022-2023': ['Europa League']}
Pablo Marín,ESP,"MF,FW",Real Sociedad,2003,"{'2022-2023': ['Europa League', 'La Liga'], '2024-2025': ['Europa League', 'La Liga']}"
Guillermo Maripán,CHI,DF,Monaco,1994,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Serie A'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Marquinhos,BRA,FW,Arsenal,2003,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Ligue 1'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marquinhos,BRA,"FW,MF",Ferencváros,1999,{'2022-2023': ['Europa League']}
Anthony Martial,FRA,FW,Manchester Utd,1995,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League']}"
Gabriel Martinelli,BRA,FW,Arsenal,2001,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Emiliano Martínez,URU,MF,Midtjylland,1999,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Lisandro Martínez,ARG,DF,Manchester Utd,1998,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Europa League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Gelson Martins,POR,MF,Monaco,1995,"{'2022-2023': ['Europa League', 'Ligue 1'], '2024-2025': ['Europa League']}"
Adam Marušić,MNE,DF,Lazio,1992,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Europa League', 'Serie A']}"
Giorgos Masouras,GRE,"FW,MF",Olympiacos,1994,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Eliot Matazo,BEL,MF,Monaco,2002,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1', 'Belgian Pro League'], '2024-2025': ['Ligue 1', 'Champions League']}"
Matheus,BRA,GK,Braga,1992,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Europa League', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Nemanja Matić,SRB,MF,Roma,1988,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Europa League', 'Ligue 1']}"
Chrislain Matsima,FRA,DF,Monaco,2002,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Bundesliga']}"
Adam Matthews,WAL,DF,AC Omonia,1992,{'2022-2023': ['Europa League']}
Charlie McNeill,ENG,DF,Manchester Utd,2003,{'2022-2023': ['Europa League']}
Scott McTominay,SCO,MF,Manchester Utd,1996,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Iuri Medeiros,POR,MF,Braga,1994,{'2022-2023': ['Europa League']}
Kevin Medina,COL,DF,Qarabağ,1993,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Maksim Medvedev,AZE,DF,Qarabağ,1989,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League']}"
Birger Meling,NOR,DF,Rennes,1994,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1', 'Champions League']}"
Brais Méndez,ESP,"MF,FW",Real Sociedad,1997,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Europa League', 'La Liga']}"
Xavier Mercier,FRA,MF,Ferencváros,1989,"{'2022-2023': ['Europa League'], '2023-2024': ['Belgian Pro League']}"
Mikel Merino,ESP,MF,Real Sociedad,1996,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Quentin Merlin,FRA,DF,Nantes,2002,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Karol Mets,EST,DF,Zürich,1993,"{'2022-2023': ['Europa League'], '2024-2025': ['Bundesliga']}"
Sven Michel,GER,FW,Union Berlin,1990,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga']}"
Jovan Mijatović,SRB,"MF,FW",Red Star,2005,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League']}"
Nemanja Miletić,SRB,DF,AC Omonia,1991,{'2022-2023': ['Europa League']}
Hrvoje Miličević,BIH,DF,AÉK Lárnaka,1993,{'2022-2023': ['Europa League']}
Sergej Milinković-Savić,SRB,MF,Lazio,1995,"{'2022-2023': ['Europa League', 'Serie A'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Nemanja Milunović,SRB,DF,Red Star,1989,{'2022-2023': ['Europa League']}
Takumi Minamino,JPN,"FW,MF",Monaco,1995,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1', 'Champions League'], 'WC 2022': ['WC 2022']}"
Juan Miranda,ESP,DF,Betis,2000,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['Europa League', 'La Liga'], '2024-2025': ['Champions League', 'Serie A']}"
Stefan Mitrović,SRB,"FW,MF",Red Star,2002,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Belgian Pro League']}"
Ryan Mmaee,MAR,FW,Ferencváros,1997,{'2022-2023': ['Europa League']}
Samy Mmaee,MAR,DF,Ferencváros,1996,"{'2022-2023': ['Europa League'], '2024-2025': ['Champions League']}"
Brede Moe,NOR,DF,Bodø/Glimt,1991,{'2022-2023': ['Europa League']}
Mostafa Mohamed,EGY,"FW,MF",Nantes,1997,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1']}"
Niklas Moisander,FIN,DF,Malmö,1985,{'2022-2023': ['Europa League']}
Florent Mollet,FRA,MF,Nantes,1991,"{'2022-2023': ['Europa League', 'Bundesliga', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1']}"
Emre Mor,TUR,MF,Fenerbahçe,1997,{'2022-2023': ['Europa League']}
Álex Moreno,ESP,"DF,MF",Betis,1993,"{'2022-2023': ['Premier League', 'Europa League', 'La Liga'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League']}"
Anthony Moris,LUX,GK,Union SG,1990,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Belgian Pro League'], '2024-2025': ['Europa League', 'Belgian Pro League']}"
Nemanja Motika,SRB,MF,Red Star,2003,{'2022-2023': ['Europa League']}
Samuel Moutoussamy,COD,MF,Nantes,1996,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1']}"
Aihen Muñoz,ESP,DF,Real Sociedad,1997,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Europa League', 'La Liga']}"
Murilo,POR,DF,HJK,1995,{'2022-2023': ['Europa League']}
Almoatasem Al Musrati,LBY,MF,Braga,1996,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Europa League']}"
Bəhlul Mustafazadə,AZE,DF,Qarabağ,1997,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Ibrahim Mustapha,GHA,"MF,FW",Red Star,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League']}"
Alper Mutlu,,GK,AÉK Lárnaka,2003,{'2022-2023': ['Europa League']}
Joel Mvuka,NOR,FW,Bodø/Glimt,2002,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Ligue 1']}"
Phillipp Mwene,AUT,DF,PSV Eindhoven,1994,"{'2022-2023': ['Europa League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Bundesliga'], 'EURO 2024': ['EURO 2024']}"
Ben Nabouhane,COM,"FW,MF",Red Star,1989,{'2022-2023': ['Europa League']}
Giorgos Naoum,CYP,MF,AÉK Lárnaka,2001,{'2022-2023': ['Europa League']}
Roberto Navarro,ESP,"FW,MF",Real Sociedad,2002,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga'], '2024-2025': ['La Liga']}"
Yehor Nazaryna,UKR,MF,Shakhtar,1997,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Champions League']}"
Anton Nedyalkov,BUL,DF,Ludogorets,1993,{'2022-2023': ['Europa League']}
Reiss Nelson,ENG,FW,Arsenal,1999,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League']}"
Ruslan Neshcheret,UKR,GK,Dynamo Kyiv,2002,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Tokmac Nguen,NOR,"FW,MF",Ferencváros,1993,{'2022-2023': ['Europa League']}
Sikou Niakaté,MLI,DF,Braga,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Europa League', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Lasse Nielsen,DEN,DF,Malmö,1988,{'2022-2023': ['Europa League']}
Bart Nieuwkoop,NED,DF,Union SG,1996,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Champions League', 'Belgian Pro League'], '2024-2025': ['Champions League']}"
Veljko Nikolić,SRB,"MF,DF",Red Star,1999,{'2022-2023': ['Europa League']}
Gustaf Nilsson,SWE,"FW,DF",Union SG,1997,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Belgian Pro League'], '2024-2025': ['Champions League', 'Belgian Pro League']}"
Eddie Nketiah,ENG,FW,Arsenal,1999,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League']}"
Nonato,BRA,MF,Ludogorets,1998,"{'2022-2023': ['Europa League'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Andreas Ntoi,GRE,DF,Olympiacos,2003,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Alexander Nübel,GER,GK,Monaco,1996,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Bundesliga'], '2024-2025': ['Bundesliga', 'Champions League']}"
Armando Obispo,NED,DF,PSV Eindhoven,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League']}"
Jonathan Okita,COD,"FW,MF",Zürich,1995,{'2022-2023': ['Europa League']}
Victor Olatunji,NGA,FW,AÉK Lárnaka,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Paulo Oliveira,POR,DF,Braga,1992,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Cauly Oliveira Souza,BRA,MF,Ludogorets,1995,"{'2022-2023': ['Europa League'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Kristoffer Olsson,SWE,MF,Midtjylland,1995,{'2022-2023': ['Europa League']}
Martin Olsson,SWE,"MF,DF",Malmö,1988,{'2022-2023': ['Europa League']}
Anthony Olusanya,FIN,"FW,MF",HJK,2000,{'2022-2023': ['Europa League']}
Warmed Omari,COM,DF,Rennes,2000,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Abdülkadir Ömür,TUR,"FW,MF",Trabzonspor,1999,{'2022-2023': ['Europa League']}
Jayden Oosterwolde,NED,DF,Fenerbahçe,2001,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Fredrik Oppegard,NOR,DF,PSV Eindhoven,2002,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Alois Oroz,CRO,MF,Sturm Graz,2000,{'2022-2023': ['Europa League']}
Bright Osayi-Samuel,NGA,"DF,FW",Fenerbahçe,1997,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Abou Ouattara,BFA,"FW,DF",Sheriff Tiraspol,1999,{'2022-2023': ['Europa League']}
Cheick Oumar Conde,GUI,MF,Zürich,2000,{'2022-2023': ['Europa League']}
Mikel Oyarzabal,ESP,FW,Real Sociedad,1997,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Europa League', 'La Liga'], 'EURO 2024': ['EURO 2024']}"
Filip Ozobić,AZE,MF,Qarabağ,1991,{'2022-2023': ['Europa League']}
Jon Pacheco,ESP,DF,Real Sociedad,2001,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Europa League', 'La Liga']}"
